CustomerID,Gender,SeniorCitizen,Tenure,MonthlyCharges,TotalCharges,ContractType,InternetService,OnlineSecurity,TechSupport,PaymentMethod,CallDuration,Complaints,RechargeFrequency,Churn,ChurnProbability,Segment
CUST-00071,Female,0,66,113.18,6976.85,Month-to-Month,DSL,No,No,Bank Transfer,525.4,2,2,1,0.788,At Risk
CUST-00072,Male,0,39,41.0,1408.08,Month-to-Month,DSL,No,No,Credit Card,77.0,2,4,0,0.3098,Dormant
CUST-00073,Male,0,24,80.67,1827.44,Two Year,Fiber Optic,No,No,Credit Card,570.0,1,3,1,0.6271,At Risk
CUST-00074,Female,0,8,20.86,164.91,Month-to-Month,No,No Internet Service,No Internet Service,Electronic Check,54.2,2,3,1,0.7034,At Risk
CUST-00075,Female,1,72,113.04,8219.1,Two Year,Fiber Optic,No,No,Electronic Check,133.7,0,11,0,0.1561,Loyal
CUST-00076,Female,0,7,71.34,473.74,Month-to-Month,DSL,Yes,No,Electronic Check,363.2,0,2,0,0.4645,Dormant
CUST-00077,Female,0,5,22.41,98.95,Two Year,Fiber Optic,Yes,No,Bank Transfer,319.15,0,3,0,0.1548,Loyal
CUST-00078,Male,0,14,52.93,691.33,Month-to-Month,DSL,Yes,No,Electronic Check,122.2,2,5,1,0.7422,At Risk
CUST-00079,Male,0,1,25.84,26.03,Month-to-Month,Fiber Optic,No,Yes,Mailed Check,573.5,0,7,0,0.3548,Dormant
CUST-00080,Male,0,72,58.08,3899.79,One Year,DSL,Yes,No,Credit Card,597.0,2,5,0,0.2535,Dormant
CUST-00081,Female,0,21,86.33,1793.54,Two Year,No,No Internet Service,No Internet Service,Bank Transfer,484.9,1,0,0,0.3604,Dormant
CUST-00082,Female,0,19,65.93,1191.84,Two Year,No,No Internet Service,No Internet Service,Electronic Check,323.7,1,5,0,0.0931,Loyal
CUST-00083,Male,0,25,57.14,1283.14,One Year,Fiber Optic,No,No,Electronic Check,543.2,1,9,0,0.134,Loyal
CUST-00084,Male,0,16,30.15,486.85,Two Year,Fiber Optic,No,No,Bank Transfer,93.8,3,4,0,0.226,Dormant
CUST-00085,Male,0,1,42.98,37.26,One Year,Fiber Optic,Yes,No,Bank Transfer,567.4,0,9,1,0.6829,At Risk
CUST-00086,Male,0,22,28.21,592.68,Two Year,DSL,No,No,Bank Transfer,230.4,1,4,0,0.1092,Loyal
CUST-00087,Female,0,30,100.36,2684.97,Two Year,Fiber Optic,No,No,Electronic Check,521.0,0,5,0,0.1171,Loyal
CUST-00088,Female,0,12,31.79,381.48,Month-to-Month,Fiber Optic,Yes,Yes,Credit Card,411.0,0,8,0,0.2421,Dormant
CUST-00089,Female,0,33,78.73,2469.71,One Year,No,No Internet Service,No Internet Service,Bank Transfer,577.4,1,5,1,0.5412,At Risk
CUST-00090,Male,0,6,52.96,301.84,One Year,DSL,No,No,Credit Card,522.9,3,1,0,0.544,At Risk
CUST-00091,Male,0,6,41.05,244.18,One Year,Fiber Optic,No,Yes,Electronic Check,536.1,1,3,0,0.2713,Dormant
CUST-00092,Female,0,4,83.23,332.57,Two Year,Fiber Optic,Yes,No,Electronic Check,390.1,0,8,0,0.1532,Loyal
CUST-00093,Female,0,11,64.61,707.55,Month-to-Month,DSL,No,Yes,Electronic Check,504.9,4,3,1,0.7934,At Risk
CUST-00094,Female,0,45,58.81,2466.26,Month-to-Month,Fiber Optic,No,No,Credit Card,461.6,3,6,1,0.8247,At Risk
CUST-00095,Female,0,42,78.47,3217.76,Month-to-Month,No,No Internet Service,No Internet Service,Electronic Check,122.1,1,1,0,0.2211,Dormant
CUST-00096,Male,0,11,68.11,723.28,Month-to-Month,No,No Internet Service,No Internet Service,Electronic Check,399.7,1,2,0,0.3498,Dormant
CUST-00097,Female,1,21,48.96,960.62,Month-to-Month,Fiber Optic,No,No,Electronic Check,114.5,3,2,0,0.3787,Dormant
CUST-00098,Male,0,30,75.02,2181.83,Two Year,DSL,Yes,Yes,Bank Transfer,525.6,0,8,0,0.0423,Loyal
CUST-00099,Male,0,6,86.29,538.16,One Year,No,No Internet Service,No Internet Service,Credit Card,67.6,2,12,1,0.7129,At Risk
CUST-00100,Male,0,4,20.72,73.65,Two Year,Fiber Optic,Yes,No,Credit Card,592.6,4,4,1,0.6964,At Risk
CUST-00101,Male,0,72,65.52,4864.41,Month-to-Month,DSL,No,No,Bank Transfer,258.4,5,3,1,0.5383,At Risk
CUST-00102,Female,0,23,23.88,472.73,Two Year,DSL,Yes,No,Credit Card,127.3,2,3,0,0.4511,Dormant
CUST-00103,Male,0,72,37.01,2429.37,One Year,DSL,Yes,No,Electronic Check,563.3,1,3,0,0.1048,Loyal
CUST-00104,Female,0,9,75.17,614.04,Month-to-Month,DSL,Yes,No,Credit Card,55.9,2,5,1,0.8202,At Risk
CUST-00105,Female,0,29,106.35,3007.89,One Year,Fiber Optic,No,No,Mailed Check,298.0,1,8,0,0.1949,Loyal
CUST-00106,Male,0,6,108.05,568.07,Two Year,DSL,No,No,Mailed Check,469.0,2,3,0,0.4286,Dormant
CUST-00107,Male,0,7,25.13,180.57,Month-to-Month,DSL,No,No,Electronic Check,210.5,2,6,1,0.7775,At Risk
CUST-00108,Female,0,17,60.75,1048.97,One Year,Fiber Optic,No,Yes,Electronic Check,331.4,1,6,0,0.1647,Loyal
CUST-00109,Male,0,9,77.47,683.57,Two Year,Fiber Optic,No,No,Electronic Check,429.2,3,6,1,0.6712,At Risk
CUST-00110,Male,1,4,33.0,124.3,Month-to-Month,DSL,Yes,No,Electronic Check,572.6,1,7,1,0.6218,At Risk
CUST-00111,Male,1,7,96.07,697.1,One Year,DSL,Yes,No,Mailed Check,88.5,0,4,1,0.7684,At Risk
CUST-00112,Male,1,1,93.91,95.43,Month-to-Month,DSL,Yes,Yes,Electronic Check,119.6,1,7,0,0.3464,Dormant
CUST-00113,Female,0,29,110.14,3033.92,Month-to-Month,Fiber Optic,No,Yes,Electronic Check,320.1,2,4,0,0.4651,Dormant
CUST-00114,Female,0,16,18.87,301.92,One Year,DSL,No,No,Credit Card,268.5,3,5,0,0.2635,Dormant
CUST-00115,Female,0,2,40.1,77.26,Month-to-Month,Fiber Optic,Yes,Yes,Credit Card,264.2,4,5,1,0.8526,At Risk
CUST-00116,Female,0,4,102.37,396.21,Two Year,DSL,Yes,No,Credit Card,199.3,0,5,0,0.2433,Dormant
CUST-00117,Female,0,2,86.4,158.32,Month-to-Month,DSL,No,No,Bank Transfer,349.6,1,9,1,0.7445,At Risk
CUST-00118,Male,0,22,109.23,2264.68,Month-to-Month,Fiber Optic,Yes,No,Bank Transfer,533.5,1,4,0,0.2317,Dormant
CUST-00119,Female,0,2,23.83,41.26,One Year,DSL,No,Yes,Credit Card,121.7,4,4,1,0.7723,At Risk
CUST-00120,Female,0,33,78.89,2398.93,Month-to-Month,DSL,Yes,No,Bank Transfer,152.7,2,4,1,0.7283,At Risk
CUST-00121,Female,0,1,76.04,75.22,Month-to-Month,DSL,No,No,Electronic Check,412.4,2,6,1,0.8443,At Risk
CUST-00122,Female,1,6,21.64,135.12,Two Year,DSL,No,Yes,Electronic Check,62.0,0,4,1,0.6308,At Risk
CUST-00123,Male,0,53,70.38,3889.09,Two Year,Fiber Optic,No,No,Electronic Check,414.0,2,7,0,0.1053,Loyal
CUST-00124,Male,0,30,80.17,2311.65,Two Year,DSL,Yes,No,Credit Card,209.2,1,4,0,0.1188,Loyal
CUST-00125,Male,1,1,37.51,36.43,One Year,No,No Internet Service,No Internet Service,Bank Transfer,234.0,5,6,0,0.3173,Dormant
CUST-00126,Male,0,41,45.88,1668.79,Two Year,No,No Internet Service,No Internet Service,Mailed Check,261.2,1,4,0,0.0612,Loyal
CUST-00127,Female,0,16,83.32,1318.54,Two Year,Fiber Optic,No,Yes,Electronic Check,229.3,1,8,0,0.1217,Loyal
CUST-00128,Female,0,45,65.77,2557.53,Month-to-Month,DSL,No,No,Electronic Check,509.5,2,0,0,0.4328,Dormant
CUST-00129,Male,0,22,105.52,2105.4,Month-to-Month,No,No Internet Service,No Internet Service,Bank Transfer,569.3,0,6,0,0.1826,Loyal
CUST-00130,Female,1,27,52.92,1405.51,Month-to-Month,DSL,Yes,No,Mailed Check,342.4,0,8,0,0.2221,Dormant
CUST-00131,Male,0,72,45.2,2968.21,Month-to-Month,DSL,No,Yes,Mailed Check,361.7,1,5,0,0.0612,Loyal
CUST-00132,Male,0,6,118.46,611.23,Two Year,DSL,No,Yes,Electronic Check,70.2,4,7,1,0.6315,At Risk
CUST-00133,Male,0,23,110.94,2593.4,One Year,No,No Internet Service,No Internet Service,Bank Transfer,436.5,0,7,0,0.0268,Loyal
CUST-00134,Male,0,14,20.96,267.64,One Year,DSL,No,No,Credit Card,362.9,4,3,0,0.3505,Dormant
CUST-00135,Female,1,1,96.61,96.61,Month-to-Month,No,No Internet Service,No Internet Service,Credit Card,58.7,0,2,1,0.6243,At Risk
CUST-00136,Male,0,1,29.25,25.3,Month-to-Month,DSL,No,No,Electronic Check,143.1,1,5,1,0.7384,At Risk
CUST-00137,Female,0,3,20.8,56.18,Month-to-Month,No,No Internet Service,No Internet Service,Mailed Check,145.1,1,8,0,0.4222,Dormant
CUST-00138,Female,0,25,45.92,1016.67,Two Year,No,No Internet Service,No Internet Service,Electronic Check,127.5,0,7,0,0.1485,Loyal
CUST-00139,Male,0,20,45.47,913.82,Month-to-Month,No,No Internet Service,No Internet Service,Mailed Check,405.4,1,1,0,0.1394,Loyal
CUST-00140,Female,1,19,101.57,1764.51,Two Year,Fiber Optic,No,No,Bank Transfer,559.2,2,2,1,0.7212,At Risk
CUST-00141,Female,0,1,90.49,91.48,Month-to-Month,No,No Internet Service,No Internet Service,Electronic Check,464.9,3,6,1,0.7512,At Risk
CUST-00142,Male,0,15,118.12,1567.63,One Year,No,No Internet Service,No Internet Service,Bank Transfer,302.1,3,3,0,0.18,Loyal
CUST-00143,Male,0,62,90.57,5326.58,One Year,DSL,Yes,No,Mailed Check,260.3,1,11,0,0.1474,Loyal
CUST-00144,Male,0,12,60.66,718.9,Two Year,Fiber Optic,No,Yes,Credit Card,250.3,1,8,0,0.2148,Dormant
CUST-00145,Male,0,23,89.29,2013.41,Month-to-Month,Fiber Optic,Yes,Yes,Electronic Check,372.7,4,3,1,0.7181,At Risk
CUST-00146,Male,1,36,119.94,4189.28,Month-to-Month,DSL,Yes,No,Electronic Check,234.8,2,6,1,0.6936,At Risk
CUST-00147,Female,0,36,90.43,3369.31,Month-to-Month,Fiber Optic,No,No,Bank Transfer,158.9,1,6,0,0.2162,Dormant
CUST-00148,Female,1,17,95.69,1626.73,Two Year,DSL,No,No,Bank Transfer,373.6,4,10,0,0.2291,Dormant
CUST-00149,Male,0,46,113.71,4962.56,Month-to-Month,Fiber Optic,Yes,No,Bank Transfer,252.7,2,7,0,0.3326,Dormant
CUST-00150,Male,0,11,29.59,334.21,Month-to-Month,DSL,Yes,No,Credit Card,38.1,3,8,1,0.7908,At Risk
CUST-00151,Female,0,52,89.89,4045.96,One Year,DSL,No,Yes,Mailed Check,42.7,1,3,0,0.229,Dormant
CUST-00152,Male,0,6,104.78,541.41,One Year,DSL,No,Yes,Mailed Check,186.3,1,4,1,0.6446,At Risk
CUST-00153,Male,1,7,115.35,724.01,Two Year,No,No Internet Service,No Internet Service,Credit Card,322.1,0,1,0,0.408,Dormant
CUST-00154,Male,0,1,39.52,38.6,Two Year,DSL,No,No,Mailed Check,231.9,1,4,0,0.2193,Dormant
CUST-00155,Female,0,38,69.4,2378.69,One Year,No,No Internet Service,No Internet Service,Mailed Check,43.7,2,6,1,0.5802,At Risk
CUST-00156,Male,0,12,87.42,931.6,Two Year,Fiber Optic,No,Yes,Bank Transfer,157.2,2,3,0,0.3321,Dormant
CUST-00157,Female,0,6,43.24,244.33,One Year,Fiber Optic,No,No,Bank Transfer,85.0,0,4,0,0.4648,Dormant
CUST-00158,Female,0,6,79.25,462.53,Month-to-Month,DSL,No,No,Electronic Check,570.7,0,6,1,0.3933,Dormant
CUST-00159,Male,0,55,44.27,2190.66,Two Year,DSL,No,Yes,Electronic Check,208.3,0,5,0,0.0259,Loyal
CUST-00160,Female,0,43,52.01,2035.46,One Year,Fiber Optic,No,No,Mailed Check,38.4,2,4,0,0.2556,Dormant
CUST-00161,Male,0,19,63.03,1164.89,Month-to-Month,DSL,No,No,Electronic Check,319.15,1,3,0,0.2796,Dormant
CUST-00162,Female,0,22,71.98,1645.55,One Year,Fiber Optic,No,No,Credit Card,162.5,4,9,0,0.1934,Loyal
CUST-00163,Female,0,15,63.84,943.19,Month-to-Month,No,No Internet Service,No Internet Service,Electronic Check,353.0,3,9,1,0.7075,At Risk
CUST-00164,Female,0,11,68.31,756.35,Month-to-Month,DSL,No,Yes,Electronic Check,115.9,2,8,1,0.7402,At Risk
CUST-00165,Male,0,59,48.46,2640.02,One Year,Fiber Optic,No,No,Bank Transfer,590.9,1,2,0,0.2279,Dormant
CUST-00166,Female,1,3,34.21,92.82,Two Year,No,No Internet Service,No Internet Service,Bank Transfer,583.0,1,6,0,0.1728,Loyal
CUST-00167,Male,0,13,22.83,279.24,One Year,No,No Internet Service,No Internet Service,Bank Transfer,403.9,2,4,1,0.5736,At Risk
CUST-00168,Male,0,10,37.99,384.24,Month-to-Month,No,No Internet Service,No Internet Service,Mailed Check,433.1,2,6,1,0.7943,At Risk
CUST-00169,Male,0,16,77.36,1165.05,Two Year,No,No Internet Service,No Internet Service,Credit Card,272.8,3,3,0,0.1518,Loyal
CUST-00170,Female,0,14,98.18,1401.11,Month-to-Month,DSL,No,Yes,Mailed Check,578.4,1,4,0,0.3082,Dormant
CUST-00171,Female,0,17,35.26,628.04,Month-to-Month,No,No Internet Service,No Internet Service,Mailed Check,271.5,1,8,0,0.208,Dormant
CUST-00172,Male,0,3,29.07,75.38,Month-to-Month,No,No Internet Service,No Internet Service,Credit Card,166.5,1,6,0,0.4155,Dormant
CUST-00173,Female,0,17,94.43,1379.09,Month-to-Month,Fiber Optic,Yes,Yes,Electronic Check,95.8,1,4,1,0.541,At Risk
CUST-00174,Male,0,6,49.13,259.38,Month-to-Month,Fiber Optic,Yes,No,Credit Card,148.6,4,3,1,0.8871,At Risk
CUST-00175,Female,0,4,115.05,426.55,One Year,Fiber Optic,Yes,No,Mailed Check,356.2,3,7,1,0.7213,At Risk
CUST-00176,Male,0,1,90.86,90.86,Two Year,DSL,No,No,Credit Card,169.7,1,3,1,0.6616,At Risk
CUST-00177,Female,1,34,51.33,1787.34,Two Year,DSL,No,Yes,Electronic Check,402.9,2,7,0,0.1833,Loyal
CUST-00178,Male,0,13,47.53,528.07,Two Year,Fiber Optic,No,No,Credit Card,247.8,2,4,0,0.3553,Dormant
CUST-00179,Female,0,23,71.42,1500.01,Month-to-Month,Fiber Optic,Yes,Yes,Bank Transfer,535.5,3,9,0,0.3315,Dormant
CUST-00180,Male,1,31,26.07,716.8,One Year,Fiber Optic,No,Yes,Bank Transfer,348.3,2,6,0,0.2624,Dormant
CUST-00181,Male,0,27,30.0,839.41,Two Year,DSL,No,Yes,Mailed Check,319.15,0,4,0,0.0758,Loyal
CUST-00182,Male,0,15,35.94,530.42,Month-to-Month,Fiber Optic,Yes,No,Credit Card,347.2,3,2,1,0.7843,At Risk
CUST-00183,Female,0,11,97.02,1101.8,Two Year,DSL,Yes,Yes,Mailed Check,534.8,1,2,0,0.4291,Dormant
CUST-00184,Female,1,11,70.41,808.95,Month-to-Month,DSL,No,No,Mailed Check,66.1,2,5,0,0.3803,Dormant
CUST-00185,Male,0,24,19.08,434.76,Month-to-Month,Fiber Optic,No,Yes,Bank Transfer,68.4,2,6,1,0.7364,At Risk
CUST-00186,Female,1,16,86.7,1244.13,One Year,Fiber Optic,No,No,Electronic Check,430.0,1,5,0,0.3361,Dormant
CUST-00187,Female,0,45,61.22,2754.9,One Year,DSL,Yes,No,Electronic Check,319.15,3,7,0,0.1569,Loyal
CUST-00188,Female,0,49,70.11,3073.24,One Year,Fiber Optic,No,No,Bank Transfer,277.1,0,8,0,0.0319,Loyal
CUST-00189,Female,1,4,39.84,158.04,Month-to-Month,Fiber Optic,Yes,Yes,Electronic Check,230.8,2,3,1,0.7998,At Risk
CUST-00190,Male,0,3,74.28,191.22,One Year,Fiber Optic,No,No,Credit Card,188.4,2,5,1,0.8375,At Risk
CUST-00191,Male,0,23,117.87,2332.21,Two Year,Fiber Optic,No,No,Bank Transfer,163.6,2,6,0,0.3445,Dormant
CUST-00192,Female,0,8,25.49,198.13,Two Year,DSL,Yes,Yes,Mailed Check,549.8,1,9,1,0.5909,At Risk
CUST-00193,Female,0,1,46.96,45.95,Month-to-Month,Fiber Optic,Yes,No,Electronic Check,198.2,0,2,0,0.3642,Dormant
CUST-00194,Female,1,52,42.79,2187.37,Month-to-Month,No,No Internet Service,No Internet Service,Bank Transfer,399.4,2,4,1,0.3648,Dormant
CUST-00195,Male,0,6,43.35,240.43,One Year,Fiber Optic,Yes,No,Credit Card,478.6,1,4,0,0.226,Dormant
CUST-00196,Male,0,63,56.63,3607.61,Month-to-Month,No,No Internet Service,No Internet Service,Mailed Check,42.5,2,9,0,0.3183,Dormant
CUST-00197,Female,0,30,101.45,2911.79,Month-to-Month,Fiber Optic,No,Yes,Mailed Check,49.3,3,7,1,0.8294,At Risk
CUST-00198,Female,0,34,111.11,3290.76,Month-to-Month,Fiber Optic,No,Yes,Electronic Check,219.9,2,9,1,0.565,At Risk
CUST-00199,Female,0,5,38.63,194.97,Two Year,No,No Internet Service,No Internet Service,Bank Transfer,426.7,2,8,0,0.132,Loyal
CUST-00200,Female,0,6,73.38,458.16,Two Year,Fiber Optic,No,Yes,Bank Transfer,178.7,1,6,0,0.2095,Dormant
CUST-00201,Female,0,17,82.96,1215.71,Month-to-Month,No,No Internet Service,No Internet Service,Electronic Check,30.8,1,5,0,0.3622,Dormant
CUST-00202,Male,1,4,71.23,264.48,Month-to-Month,Fiber Optic,No,No,Bank Transfer,194.2,0,10,1,0.451,Dormant
